cust,pin_pkg,prod_id,bd_id,Location,Original ENT(08:30),Original ENT(11:00),Allocate ENT,Output plan
WINBOND,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,0,0,13,251919
WINBOND,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,7.0,6.0,12,186565
WINBOND,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-U,0,0,4,167677
WINBOND,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-IP,3.0,1.0,3,0
WINBOND,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-P,4.0,4.0,8,144000
WINBOND,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-U,0,0,2,62029
WINBOND,DFN-08YM2D,008YMAB052,AAB008YM2020A,TB-P,2.0,1.0,2,0
WINBOND,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-P,0,0,1,16000
WINBOND,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-R,0,0,2,48000
WINBOND,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-U,0,0,11,238295
WINBOND,DFN-08YQ2A,008YQAB021,AAB008YQ2003A,TB-U,2.0,2.0,2,0
WINBOND,FBGA-84UC2H,084UCAB028,AAB084CC9002A,TA,2.0,2.0,2,0
WINBOND,FBGA-84UC2H,084UCAB028,AAB084CC9002A,TB-5P,0,0,2,23503
WINBOND,FBGA60UEM2-1,060EMAB003,AAB060EM2002A,TA-2,8.0,8.0,8,0
WINBOND,FBGA60UEM2-1,060EMAB004,AAB060EM2001A,TA,2.0,2.0,3,7023
WINBOND,FBGA96UEF3-2,096EFAB009,AAB096EF3001A,TA,2.0,1.0,6,7268
WINBOND,FBGA96UEL(2),096ELAB015,AAB096EL1002A,TA,20.0,19.0,24,98057
WINBOND,FBGA96UEL(2),096ELAB016,AAB096EL1003A,TA,1.0,1.0,11,68001
WINBOND,MBGA24J3U,024MAAB086,AAB024MAA008A,TA,0,0,5,41362
WINBOND,STBGA162B4U,162KEAB004,AAB162KE1002A,TA,1.0,4.0,15,39358
WINBOND,STBGA162B4U,162KEAB004,AAB162KE1002A,TA-2,5.0,4.0,7,3280
WINBOND,STBGA162B4U,162KEAB011,AAB162KE1006A,TA-2,3.0,2.0,6,10358
WINBOND,STDFN-08YQ2A,008YQAB085,AAB008YQ2034A,TB-R,1.0,1.0,4,34560
WINBOND,STDFN-08YQ2A,008YQAB085,AAB008YQ2034A,TB-U,3.0,2.0,10,47520
WINBOND,STDFN-08YQ2A,008YQAB090,AAB008YQ2039B,TB-R,1.0,1.0,5,43261
WINBOND,STDFN-08YQ2A,008YQAB090,AAB008YQ2039B,TB-U,2.0,1.0,9,72320
WINBOND,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA,4.0,2.0,20,128837
WINBOND,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA-2,0,0,8,65602
WINBOND,TSOP1-48AM2,048TWAB019,AAB048TW2009A,TA-2,0,0,3,5520
WINBOND,TSOP2-54ME,054TNAB029,AAB054TN1004A,TA,2.0,1.0,2,0
WINBOND,TSOP2-54ME,054TNAB036,AAB054TN1005A,TA,0,0,3,20160
WINBOND,TSOP2-54ME,054TNAB037,AAB054TN1004A,TA,1.0,1.0,3,14400
WINBOND,TSOP2-54ME,054TNAB037,AAB054TN1004A,TA-2,0,0,8,94678
WINBOND,TSOP2-54ME,054TNAB041,AAB054TN1005A,TA,7.0,6.0,13,46459
WINBOND,TSOP2-66ME,066TNAB040,AAB066TN1004A,TA,2.0,1.0,2,0
