CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB563,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB567,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB568,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB571,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB573,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB575,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB576,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB584,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB588,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB590,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB592,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB593,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB596,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB602,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB605,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB606,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB609,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB611,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB614,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB617,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB624,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA-2,BB709,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,BBF60,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,BBF62,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,BBF65,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,BBF70,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,BBF71,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,BBF72,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBC13,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBC20,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBC22,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBC36,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBC40,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBC44,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBC53,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBK36,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,BBK38,1,,
