route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,wlot_hold_category,wlot_assy_lot,bd_id,urgent_code,wip_outplan_time
QFNS605,P13ABKR11,WINBOND,DFN-08YD2A,008YDAB014,3520,0,2200,N,AB,AAG061900/IG/W25Q256JWPIM{C},OP6CMB061W,Y,20210417,85656,20210417,85656,,P13ABKR,AAB008YD2003A,,2021/4/17 12:45
QFNS243,P15AWG116,MXIC,DFN-08Y62D,008Y6AW028,16640,0,2403,N,AW,6699S-087U10ITKSH9{AGS},4525718376-20,Y,20210417,85700,20210417,85700,,P15AWG1,AAW008Y62014A,,
QFNS243,P15AWG119,MXIC,DFN-08Y62D,008Y6AW028,16640,0,2403,N,AW,6699S-087U10ITKSH9{AGS},4525718376-20,Y,20210417,85701,20210417,85701,,P15AWG1,AAW008Y62014A,,
QFNS243,P15AWG130,MXIC,DFN-08Y62D,008Y6AW028,16640,0,2403,N,AW,6699S-087U10ITKSH9{AGS},4525718376-20,Y,20210417,85702,20210417,85702,,P15AWG1,AAW008Y62014A,,
QFNS282,P15VGAP07,ISSI-VG,DFN-08YM2D,008YMVG003,32000,0,2403,N,VG,IS25LQ020B-JULE1-TR,C02PO-100500064,Y,20210417,85702,20210417,85702,,P15VGAP,ABU008YM2002A,,
BGA622,P15MSCH01,MTI,FBGA-96UEF,096EFMS002,7995,0,2430,N,MS,Z32D1KD16CMS3713,1104419,Y,20210417,85704,20210417,85704,,P15MSCH,AMS096EF2001A,,
MBGA192,P15AWBN08,MXIC,SSLGA16DOU,016D5AW011,1242,0,2200,N,AW,5464AXB-16GG000,4525717817-10,Y,20210417,85706,20210417,85706,,P15AWBN,AAW016D53004A,,2021/4/17 23:43
CON20,P13MSEE02,MTI,TSOP1-48AM,048TWMS067,4320,0,2450,N,MS,M68M1WP1CMS3425,1096307,Y,20210417,85712,20210417,85712,,P13MSEE,AMS048TW1057A,,2021/4/17 08:57
MAT4,P16AW2UA,MXIC,MAT,0008WAW056,12,0,2040,N,AW,SUBMATWAW058,,Y,20210417,85719,20210417,85719,,P16AW2U,ENG,,2021/4/17 14:07
CON333,P13ASC101,EliteMT,TSOP1-48/48M,048TPAS005,2228,0,2410,N,AS,F59L2G81KAN1AM{M6RFA},MT2021031255,Y,20210417,85726,20210417,85726,,P13ASC1,AAS048TP2003A,,
BGA622,P15MSCP01,MTI,FBGA-96UEF,096EFMS002,2460,0,2200,N,MS,Z32D1KD16CMS3713,1104419,Y,20210417,85732,20210417,85732,,P15MSCP,AMS096EF2001A,,2021/4/17 21:15
MCON57,P15AWAP27,MXIC,TSOP1-48/M2,048TPAW103,720,0,3130,N,AW,5480CNB-48TG000,4525717594-10,Y,20210417,85735,20210417,85735,,P15AWAP,AAW048TP1008B,,2021/4/17 09:26
QFNS400,P12ASDY12,EliteMT,DFN-08YM2G,008YMAS029,32000,0,2320,N,AS,CEN25S16BS2HM{M9ZFA},MT2021031105,Y,20210417,85738,20210417,85738,,P12ASDY,AAS008YM2012A,,
BGAPRT01,PB6MSDX,ChipMOS,MAT,0008WPRT001,31918,0,5030,N,FQ,STECIL-MAT,1109628,Y,20210417,85738,20210417,85738,,PB6MSDX,,,
MBGA568,P15SSAB08,HOSIN,STBGA153JAU,153XTSS005,948,0,3200,N,SS,EMC-YMC-82AP9L-128-04A52,21032830,Y,20210417,85803,20210417,85803,,P15SSAB,ASS153XT3003A,,2021/4/17 23:04
QFNS21,P15ASDE20,EliteMT,DFN-08YQ2A,008YQAS018,4320,0,2410,N,AS,F50L1G41LBM1AM{M9ZFK-200um},MT2021040380,Y,20210417,85808,20210417,85808,,P15ASDE,AAS008YQ2002B,,
CON335,P13ASCC02,EliteMT,TSOP1-48/48,048TGAS017,2560,0,2320,N,AS,F59L1G81LBM1AM{M61FA},MT2021031407,Y,20210417,85816,20210417,85816,,P13ASCC,AAS048TG2003A,,2021/4/17 09:28
